shift_record_id,production_date,plant_id,line_id,shift_id,planned_output,good_output,scrap_quantity,rework_quantity,runtime_minutes,downtime_minutes,labor_hours,energy_kwh,oee_estimate,supervisor_id,source_system
SHIFT-20250923-L01-C_Night,2025-09-23,P01,L01,C_Night,16546,15308,901,190,399.74,65.26,46.74,1346.08,0.7953,SUPV-010,MES_SHIFT
SHIFT-20250923-L02-A_Day,2025-09-23,P01,L02,A_Day,29702,27611,99,46,374.57,78.43,40.12,2897.48,0.7488,SUPV-007,MES_SHIFT
SHIFT-20250923-L02-B_Evening,2025-09-23,P01,L02,B_Evening,26048,25924,660,279,416.61,35.3,43.06,4272.41,0.8917,SUPV-009,MES_SHIFT
SHIFT-20250923-L02-C_Night,2025-09-23,P01,L02,C_Night,25816,25016,1220,417,451.67,8.52,39.39,3894.98,0.9412,SUPV-012,MES_SHIFT
SHIFT-20250923-L03-A_Day,2025-09-23,P02,L03,A_Day,17375,17440,581,151,407.15,44.8,39.02,2991.57,0.8789,SUPV-017,MES_SHIFT
SHIFT-20250923-L03-B_Evening,2025-09-23,P02,L03,B_Evening,18268,17147,286,77,407.21,37.86,45.77,2290.31,0.822,SUPV-001,MES_SHIFT
SHIFT-20250923-L03-C_Night,2025-09-23,P02,L03,C_Night,13739,11959,587,254,440.5,15.3,45.13,1557.37,0.8246,SUPV-017,MES_SHIFT
SHIFT-20250923-L04-A_Day,2025-09-23,P02,L04,A_Day,11796,11441,365,146,400.49,46.12,45.54,2058.01,0.8354,SUPV-016,MES_SHIFT
SHIFT-20250923-L04-B_Evening,2025-09-23,P02,L04,B_Evening,11607,9857,295,106,416.89,29.78,47.12,1423.2,0.7614,SUPV-010,MES_SHIFT
SHIFT-20250923-L04-C_Night,2025-09-23,P02,L04,C_Night,12137,10909,473,105,405.43,48.2,44.4,1331.16,0.7837,SUPV-003,MES_SHIFT
SHIFT-20250923-L05-A_Day,2025-09-23,P03,L05,A_Day,10937,10027,258,123,445.96,8.55,38.66,1130.3,0.8792,SUPV-009,MES_SHIFT
SHIFT-20250923-L05-B_Evening,2025-09-23,P03,L05,B_Evening,10169,9658,308,87,430.21,16.68,42.72,1110.9,0.8787,SUPV-015,MES_SHIFT
SHIFT-20250923-L05-C_Night,2025-09-23,P03,L05,C_Night,10041,9894,542,220,406.21,38.0,38.43,1283.84,0.8608,SUPV-011,MES_SHIFT
SHIFT-20250923-L06-A_Day,2025-09-23,P03,L06,A_Day,27682,25476,860,230,411.97,53.03,38.83,3287.65,0.8154,SUPV-013,MES_SHIFT
SHIFT-20250923-L06-B_Evening,2025-09-23,P03,L06,B_Evening,30729,28276,1141,245,423.16,27.19,45.3,4278.79,0.8374,SUPV-003,MES_SHIFT
SHIFT-20250923-L06-C_Night,2025-09-23,P03,L06,C_Night,29610,26672,1291,536,420.58,26.5,38.86,3851.15,0.8147,SUPV-005,MES_SHIFT
SHIFT-20250924-L01-A_Day,2025-09-24,P01,L01,A_Day,19128,17456,349,110,414.32,24.84,40.48,2206.64,0.8131,SUPV-011,MES_SHIFT
SHIFT-20250924-L01-B_Evening,2025-09-24,P01,L01,B_Evening,21573,21660,442,169,406.77,50.51,41.36,2994.71,0.8783,SUPV-005,MES_SHIFT
SHIFT-20250924-L01-C_Night,2025-09-24,P01,L01,C_Night,17753,15398,515,269,449.05,11.55,39.69,2229.29,0.8376,SUPV-002,MES_SHIFT
SHIFT-20250924-L02-A_Day,2025-09-24,P01,L02,A_Day,32400,29872,1862,745,421.86,33.06,38.37,4933.35,0.8364,SUPV-008,MES_SHIFT
SHIFT-20250924-L02-B_Evening,2025-09-24,P01,L02,B_Evening,32797,29843,525,158,365.73,82.87,38.88,3784.38,0.7157,SUPV-011,MES_SHIFT
SHIFT-20250924-L02-C_Night,2025-09-24,P01,L02,C_Night,25703,22907,950,210,434.14,10.45,39.11,2934.05,0.8321,SUPV-017,MES_SHIFT
SHIFT-20250924-L03-A_Day,2025-09-24,P02,L03,A_Day,17852,18071,103,41,380.59,70.6,45.52,2086.2,0.8285,SUPV-014,MES_SHIFT
SHIFT-20250924-L03-B_Evening,2025-09-24,P02,L03,B_Evening,20525,19244,188,65,398.98,66.02,45.33,2019.12,0.8045,SUPV-001,MES_SHIFT
SHIFT-20250924-L03-C_Night,2025-09-24,P02,L03,C_Night,16893,15790,488,189,398.83,66.17,43.83,1978.58,0.8017,SUPV-004,MES_SHIFT
SHIFT-20250924-L04-A_Day,2025-09-24,P02,L04,A_Day,9598,7943,337,109,402.91,56.24,41.51,1217.23,0.7171,SUPV-008,MES_SHIFT
SHIFT-20250924-L04-B_Evening,2025-09-24,P02,L04,B_Evening,11705,10452,462,193,365.21,83.62,43.37,1727.12,0.7013,SUPV-010,MES_SHIFT
SHIFT-20250924-L04-C_Night,2025-09-24,P02,L04,C_Night,9067,7570,403,124,401.91,53.16,40.86,1377.7,0.7216,SUPV-007,MES_SHIFT
SHIFT-20250924-L05-A_Day,2025-09-24,P03,L05,A_Day,13191,13353,153,68,378.51,40.7,41.24,1287.53,0.824,SUPV-006,MES_SHIFT
SHIFT-20250924-L05-B_Evening,2025-09-24,P03,L05,B_Evening,14245,13572,617,224,433.5,26.87,38.88,1392.71,0.8882,SUPV-008,MES_SHIFT
SHIFT-20250924-L05-C_Night,2025-09-24,P03,L05,C_Night,16309,14309,431,176,428.43,25.41,38.58,1262.93,0.8084,SUPV-010,MES_SHIFT
SHIFT-20250924-L06-A_Day,2025-09-24,P03,L06,A_Day,28790,26605,731,243,390.13,54.19,38.9,1646.52,0.7753,SUPV-015,MES_SHIFT
SHIFT-20250924-L06-B_Evening,2025-09-24,P03,L06,B_Evening,21232,19447,547,241,417.23,40.41,43.31,2640.09,0.8218,SUPV-018,MES_SHIFT
SHIFT-20250924-L06-C_Night,2025-09-24,P03,L06,C_Night,21246,20385,213,85,433.76,25.75,39.14,1342.34,0.895,SUPV-005,MES_SHIFT
SHIFT-20250925-L01-A_Day,2025-09-25,P01,L01,A_Day,24304,22026,679,335,373.29,73.69,44.08,2010.48,0.7275,SUPV-014,MES_SHIFT
SHIFT-20250925-L01-B_Evening,2025-09-25,P01,L01,B_Evening,25137,25428,519,266,386.99,66.66,43.54,3532.57,0.8419,SUPV-012,MES_SHIFT
SHIFT-20250925-L01-C_Night,2025-09-25,P01,L01,C_Night,22234,20238,1046,565,394.66,54.59,43.47,2715.91,0.7725,SUPV-006,MES_SHIFT
SHIFT-20250925-L02-A_Day,2025-09-25,P01,L02,A_Day,30530,27101,1228,546,439.93,19.62,40.33,2277.2,0.8398,SUPV-008,MES_SHIFT
SHIFT-20250925-L02-B_Evening,2025-09-25,P01,L02,B_Evening,23773,22248,405,166,463.37,1.63,40.3,2337.36,0.9326,SUPV-016,MES_SHIFT
SHIFT-20250925-L02-C_Night,2025-09-25,P01,L02,C_Night,22370,22112,810,319,405.75,59.25,43.21,2903.86,0.8625,SUPV-011,MES_SHIFT
SHIFT-20250925-L03-A_Day,2025-09-25,P02,L03,A_Day,19145,19440,0,0,353.02,93.81,43.99,1863.49,0.7709,SUPV-007,MES_SHIFT
SHIFT-20250925-L03-B_Evening,2025-09-25,P02,L03,B_Evening,19043,16866,265,103,429.24,30.95,41.72,1345.19,0.8176,SUPV-011,MES_SHIFT
SHIFT-20250925-L03-C_Night,2025-09-25,P02,L03,C_Night,19386,16114,653,265,422.64,30.26,42.03,1589.51,0.7555,SUPV-010,MES_SHIFT
SHIFT-20250925-L04-A_Day,2025-09-25,P02,L04,A_Day,12032,11011,190,41,414.95,40.77,45.74,1599.46,0.8166,SUPV-017,MES_SHIFT
SHIFT-20250925-L04-B_Evening,2025-09-25,P02,L04,B_Evening,14421,11877,558,280,421.76,40.04,38.42,1277.69,0.747,SUPV-005,MES_SHIFT
SHIFT-20250925-L04-C_Night,2025-09-25,P02,L04,C_Night,12570,12641,325,169,395.6,50.94,40.09,1142.46,0.8556,SUPV-006,MES_SHIFT
SHIFT-20250925-L05-A_Day,2025-09-25,P03,L05,A_Day,18116,15658,255,60,407.33,25.8,40.7,1674.24,0.7571,SUPV-016,MES_SHIFT
SHIFT-20250925-L05-B_Evening,2025-09-25,P03,L05,B_Evening,15054,14150,228,63,366.77,91.61,40.98,1962.37,0.7414,SUPV-007,MES_SHIFT
SHIFT-20250925-L05-C_Night,2025-09-25,P03,L05,C_Night,12964,11628,565,222,377.47,74.54,41.41,1132.64,0.7281,SUPV-012,MES_SHIFT
SHIFT-20250925-L06-A_Day,2025-09-25,P03,L06,A_Day,36994,31142,1198,636,402.41,46.2,47.38,3452.84,0.7285,SUPV-004,MES_SHIFT
SHIFT-20250925-L06-B_Evening,2025-09-25,P03,L06,B_Evening,36550,33468,814,273,411.0,54.0,47.19,4143.35,0.8093,SUPV-001,MES_SHIFT
SHIFT-20250925-L06-C_Night,2025-09-25,P03,L06,C_Night,25727,24174,1044,314,384.87,53.51,46.9,2842.37,0.7777,SUPV-012,MES_SHIFT
SHIFT-20250926-L01-A_Day,2025-09-26,P01,L01,A_Day,18595,18679,581,318,451.48,4.9,41.35,2958.2,0.9753,SUPV-015,MES_SHIFT
SHIFT-20250926-L01-B_Evening,2025-09-26,P01,L01,B_Evening,16839,15391,692,183,454.34,6.29,41.29,2311.41,0.8931,SUPV-004,MES_SHIFT
SHIFT-20250926-L01-C_Night,2025-09-26,P01,L01,C_Night,21838,21085,608,158,417.43,42.88,40.28,2037.99,0.8667,SUPV-012,MES_SHIFT
SHIFT-20250926-L02-A_Day,2025-09-26,P01,L02,A_Day,32455,31435,921,274,383.72,65.32,47.0,3636.64,0.7993,SUPV-018,MES_SHIFT
SHIFT-20250926-L02-B_Evening,2025-09-26,P01,L02,B_Evening,31979,30394,612,224,436.54,12.78,42.91,3266.03,0.8923,SUPV-011,MES_SHIFT
SHIFT-20250926-L02-C_Night,2025-09-26,P01,L02,C_Night,35711,31164,507,102,374.08,82.15,40.61,3065.31,0.702,SUPV-001,MES_SHIFT
SHIFT-20250926-L03-A_Day,2025-09-26,P02,L03,A_Day,16185,14534,491,242,410.88,44.47,40.85,2148.38,0.7935,SUPV-009,MES_SHIFT
SHIFT-20250926-L03-B_Evening,2025-09-26,P02,L03,B_Evening,18626,15720,405,175,405.07,49.43,47.47,1327.93,0.7352,SUPV-002,MES_SHIFT
SHIFT-20250926-L03-C_Night,2025-09-26,P02,L03,C_Night,21167,20656,1280,277,393.19,50.88,38.88,2241.05,0.8252,SUPV-007,MES_SHIFT
SHIFT-20250926-L04-A_Day,2025-09-26,P02,L04,A_Day,11462,10245,128,26,422.4,31.36,41.23,1226.45,0.8119,SUPV-003,MES_SHIFT
SHIFT-20250926-L04-B_Evening,2025-09-26,P02,L04,B_Evening,11671,11266,412,207,415.19,30.27,47.29,1182.43,0.8619,SUPV-011,MES_SHIFT
SHIFT-20250926-L04-C_Night,2025-09-26,P02,L04,C_Night,11065,10430,322,76,350.32,98.84,41.72,1196.42,0.7101,SUPV-017,MES_SHIFT
SHIFT-20250926-L05-A_Day,2025-09-26,P03,L05,A_Day,12864,12108,383,151,379.23,79.13,38.17,1245.98,0.7676,SUPV-008,MES_SHIFT
SHIFT-20250926-L05-B_Evening,2025-09-26,P03,L05,B_Evening,11917,10505,368,177,373.32,74.0,39.04,1090.07,0.7077,SUPV-018,MES_SHIFT
SHIFT-20250926-L05-C_Night,2025-09-26,P03,L05,C_Night,12416,11460,280,97,433.78,11.36,47.14,996.05,0.861,SUPV-006,MES_SHIFT
SHIFT-20250926-L06-A_Day,2025-09-26,P03,L06,A_Day,33120,31002,957,449,408.17,45.55,45.63,3495.71,0.8216,SUPV-011,MES_SHIFT
SHIFT-20250926-L06-B_Evening,2025-09-26,P03,L06,B_Evening,27540,25056,933,235,412.08,36.85,40.02,3016.74,0.8063,SUPV-010,MES_SHIFT
SHIFT-20250926-L06-C_Night,2025-09-26,P03,L06,C_Night,32497,30847,1575,828,389.02,54.12,46.29,3512.86,0.7941,SUPV-006,MES_SHIFT
SHIFT-20250927-L01-A_Day,2025-09-27,P01,L01,A_Day,16954,15860,403,82,364.68,97.29,43.48,2109.53,0.7336,SUPV-010,MES_SHIFT
SHIFT-20250927-L01-B_Evening,2025-09-27,P01,L01,B_Evening,12924,12142,234,120,410.25,32.61,43.54,1328.92,0.8289,SUPV-017,MES_SHIFT
SHIFT-20250927-L01-C_Night,2025-09-27,P01,L01,C_Night,15932,14934,754,166,426.5,18.34,40.57,1398.71,0.8598,SUPV-010,MES_SHIFT
SHIFT-20250927-L02-A_Day,2025-09-27,P01,L02,A_Day,21021,17723,686,151,413.9,30.12,46.12,1746.61,0.7505,SUPV-001,MES_SHIFT
SHIFT-20250927-L02-B_Evening,2025-09-27,P01,L02,B_Evening,17115,17045,375,87,443.53,15.01,39.26,1719.92,0.9499,SUPV-001,MES_SHIFT
SHIFT-20250927-L02-C_Night,2025-09-27,P01,L02,C_Night,19703,16534,931,335,384.86,60.1,42.97,2046.98,0.6945,SUPV-008,MES_SHIFT
SHIFT-20250927-L03-C_Night,2025-09-27,P02,L03,C_Night,11964,11673,567,204,402.63,62.37,44.47,1924.46,0.8448,SUPV-002,MES_SHIFT
SHIFT-20250927-L04-A_Day,2025-09-27,P02,L04,A_Day,8928,7890,173,59,392.54,56.81,39.68,900.21,0.746,SUPV-002,MES_SHIFT
SHIFT-20250927-L05-A_Day,2025-09-27,P03,L05,A_Day,9054,8328,338,156,427.36,32.2,41.35,1003.72,0.8454,SUPV-007,MES_SHIFT
SHIFT-20250927-L05-B_Evening,2025-09-27,P03,L05,B_Evening,12064,10660,136,47,368.57,85.11,45.99,1621.51,0.7004,SUPV-003,MES_SHIFT
SHIFT-20250927-L05-C_Night,2025-09-27,P03,L05,C_Night,9535,8056,281,128,393.03,71.97,44.56,1262.33,0.7141,SUPV-008,MES_SHIFT
SHIFT-20250927-L06-B_Evening,2025-09-27,P03,L06,B_Evening,19392,17234,453,231,379.36,67.92,45.11,1814.06,0.725,SUPV-014,MES_SHIFT
SHIFT-20250928-L01-A_Day,2025-09-28,P01,L01,A_Day,13748,11887,648,156,440.17,18.37,44.07,1428.89,0.8185,SUPV-001,MES_SHIFT
SHIFT-20250928-L01-C_Night,2025-09-28,P01,L01,C_Night,17054,16243,1076,445,441.88,2.46,39.69,1889.13,0.9051,SUPV-007,MES_SHIFT
SHIFT-20250928-L02-A_Day,2025-09-28,P01,L02,A_Day,23514,19856,1012,292,394.85,54.43,42.99,2876.67,0.717,SUPV-015,MES_SHIFT
SHIFT-20250928-L03-A_Day,2025-09-28,P02,L03,A_Day,11960,11378,304,163,434.97,13.93,41.26,1452.94,0.8899,SUPV-003,MES_SHIFT
SHIFT-20250928-L03-C_Night,2025-09-28,P02,L03,C_Night,13732,13481,401,214,397.38,39.98,46.25,1630.36,0.839,SUPV-011,MES_SHIFT
SHIFT-20250928-L04-B_Evening,2025-09-28,P02,L04,B_Evening,11491,9913,177,81,434.75,0,46.54,1199.88,0.8066,SUPV-001,MES_SHIFT
SHIFT-20250928-L04-C_Night,2025-09-28,P02,L04,C_Night,10657,9817,339,101,428.82,22.04,42.1,1372.81,0.8495,SUPV-009,MES_SHIFT
SHIFT-20250928-L05-C_Night,2025-09-28,P03,L05,C_Night,13949,12362,236,53,365.09,57.0,40.03,1495.28,0.6958,SUPV-012,MES_SHIFT
SHIFT-20250928-L06-B_Evening,2025-09-28,P03,L06,B_Evening,16855,14086,584,245,440.93,10.73,45.18,1452.83,0.7925,SUPV-017,MES_SHIFT
SHIFT-20250928-L06-C_Night,2025-09-28,P03,L06,C_Night,17448,15492,676,166,422.39,41.48,40.93,2299.8,0.8065,SUPV-007,MES_SHIFT
SHIFT-20250929-L01-A_Day,2025-09-29,P01,L01,A_Day,19675,17570,412,83,400.29,53.5,40.83,1879.74,0.7687,SUPV-011,MES_SHIFT
SHIFT-20250929-L01-B_Evening,2025-09-29,P01,L01,B_Evening,15226,13830,237,74,429.04,28.49,41.68,1405.62,0.8381,SUPV-009,MES_SHIFT
SHIFT-20250929-L01-C_Night,2025-09-29,P01,L01,C_Night,18425,16012,571,215,425.32,39.35,46.05,1397.23,0.7949,SUPV-017,MES_SHIFT
SHIFT-20250929-L02-A_Day,2025-09-29,P01,L02,A_Day,26505,22973,934,491,327.97,110.87,42.8,3278.53,0.6113,SUPV-010,MES_SHIFT
SHIFT-20250929-L02-B_Evening,2025-09-29,P01,L02,B_Evening,27378,26765,1016,321,447.76,6.33,43.38,4669.76,0.9414,SUPV-004,MES_SHIFT
SHIFT-20250929-L02-C_Night,2025-09-29,P01,L02,C_Night,33452,31666,2017,861,382.53,82.47,38.5,5129.53,0.7787,SUPV-010,MES_SHIFT
SHIFT-20250929-L03-A_Day,2025-09-29,P02,L03,A_Day,15132,13353,625,167,404.29,49.85,47.53,1637.28,0.7672,SUPV-011,MES_SHIFT
SHIFT-20250929-L03-B_Evening,2025-09-29,P02,L03,B_Evening,19592,17334,999,288,393.89,69.49,47.04,2767.14,0.7494,SUPV-003,MES_SHIFT
SHIFT-20250929-L03-C_Night,2025-09-29,P02,L03,C_Night,16462,13946,582,286,412.22,40.91,41.41,1858.11,0.751,SUPV-001,MES_SHIFT
SHIFT-20250929-L04-A_Day,2025-09-29,P02,L04,A_Day,9877,9655,467,206,420.9,36.21,45.45,1276.21,0.8848,SUPV-009,MES_SHIFT
SHIFT-20250929-L04-B_Evening,2025-09-29,P02,L04,B_Evening,9222,8561,433,119,391.77,47.89,41.77,1028.6,0.7821,SUPV-005,MES_SHIFT
SHIFT-20250929-L04-C_Night,2025-09-29,P02,L04,C_Night,11899,11084,438,233,403.53,48.09,41.93,1531.13,0.8084,SUPV-008,MES_SHIFT
SHIFT-20250929-L05-A_Day,2025-09-29,P03,L05,A_Day,14498,13446,473,180,382.09,59.17,47.4,1699.34,0.7621,SUPV-005,MES_SHIFT
SHIFT-20250929-L05-B_Evening,2025-09-29,P03,L05,B_Evening,13383,11453,469,94,393.41,66.36,39.65,1512.88,0.724,SUPV-017,MES_SHIFT
SHIFT-20250929-L05-C_Night,2025-09-29,P03,L05,C_Night,18214,17148,530,140,383.7,67.73,45.33,2102.56,0.7769,SUPV-015,MES_SHIFT
SHIFT-20250929-L06-A_Day,2025-09-29,P03,L06,A_Day,28131,26370,1097,241,421.59,43.41,39.6,2526.04,0.8499,SUPV-013,MES_SHIFT
SHIFT-20250929-L06-B_Evening,2025-09-29,P03,L06,B_Evening,30659,31197,660,340,400.77,61.56,40.68,5648.45,0.877,SUPV-002,MES_SHIFT
SHIFT-20250929-L06-C_Night,2025-09-29,P03,L06,C_Night,24620,23743,541,110,371.05,69.01,43.94,1844.44,0.7695,SUPV-006,MES_SHIFT
SHIFT-20250930-L01-A_Day,2025-09-30,P01,L01,A_Day,18918,18535,761,274,388.16,57.86,40.95,2936.0,0.8179,SUPV-009,MES_SHIFT
SHIFT-20250930-L01-B_Evening,2025-09-30,P01,L01,B_Evening,20374,18099,777,396,388.79,54.86,44.39,2879.6,0.7427,SUPV-010,MES_SHIFT
SHIFT-20250930-L01-C_Night,2025-09-30,P01,L01,C_Night,14418,13445,680,214,397.74,55.18,39.62,1790.15,0.7976,SUPV-005,MES_SHIFT
SHIFT-20250930-L02-A_Day,2025-09-30,P01,L02,A_Day,28425,25978,1286,490,406.84,58.16,39.81,3953.76,0.7996,SUPV-006,MES_SHIFT
SHIFT-20250930-L02-B_Evening,2025-09-30,P01,L02,B_Evening,28618,26004,861,374,400.67,64.33,45.44,3031.17,0.783,SUPV-017,MES_SHIFT
SHIFT-20250930-L02-C_Night,2025-09-30,P01,L02,C_Night,28234,25411,714,284,433.75,31.25,42.46,3025.27,0.8395,SUPV-002,MES_SHIFT
SHIFT-20250930-L03-A_Day,2025-09-30,P02,L03,A_Day,20283,19934,576,232,373.77,69.4,45.14,2839.95,0.79,SUPV-010,MES_SHIFT
SHIFT-20250930-L03-B_Evening,2025-09-30,P02,L03,B_Evening,18077,17352,337,154,447.01,3.46,40.4,1753.87,0.9227,SUPV-007,MES_SHIFT
SHIFT-20250930-L03-C_Night,2025-09-30,P02,L03,C_Night,17354,15295,321,142,427.65,35.57,38.95,1741.17,0.8106,SUPV-010,MES_SHIFT
SHIFT-20250930-L04-A_Day,2025-09-30,P02,L04,A_Day,11202,10609,266,97,458.74,0,39.2,972.66,0.9343,SUPV-018,MES_SHIFT
SHIFT-20250930-L04-B_Evening,2025-09-30,P02,L04,B_Evening,8096,8105,93,44,433.79,0,38.39,762.44,0.9339,SUPV-018,MES_SHIFT
SHIFT-20250930-L04-C_Night,2025-09-30,P02,L04,C_Night,9465,8864,339,93,419.18,25.86,43.39,976.4,0.8442,SUPV-016,MES_SHIFT
SHIFT-20250930-L05-A_Day,2025-09-30,P03,L05,A_Day,12664,11850,267,145,445.75,18.48,42.66,1521.2,0.897,SUPV-015,MES_SHIFT
SHIFT-20250930-L05-B_Evening,2025-09-30,P03,L05,B_Evening,16271,13666,501,104,409.95,43.06,46.68,1720.36,0.7405,SUPV-003,MES_SHIFT
SHIFT-20250930-L05-C_Night,2025-09-30,P03,L05,C_Night,16177,15107,661,255,412.9,46.1,40.39,1794.94,0.8292,SUPV-003,MES_SHIFT
SHIFT-20250930-L06-A_Day,2025-09-30,P03,L06,A_Day,23318,21064,706,336,419.17,41.3,44.51,3976.61,0.8143,SUPV-010,MES_SHIFT
SHIFT-20250930-L06-B_Evening,2025-09-30,P03,L06,B_Evening,23478,19933,703,165,389.29,54.53,47.58,2784.87,0.7108,SUPV-013,MES_SHIFT
SHIFT-20250930-L06-C_Night,2025-09-30,P03,L06,C_Night,23476,20254,1138,261,407.91,57.09,42.3,1962.85,0.7568,SUPV-005,MES_SHIFT
SHIFT-20251001-L01-A_Day,2025-10-01,P01,L01,A_Day,22530,22203,468,173,445.4,1.84,43.68,2124.66,0.944,SUPV-010,MES_SHIFT
SHIFT-20251001-L01-B_Evening,2025-10-01,P01,L01,B_Evening,18257,17135,560,217,365.5,82.05,40.39,2291.86,0.7377,SUPV-018,MES_SHIFT
SHIFT-20251001-L01-C_Night,2025-10-01,P01,L01,C_Night,18927,17085,1229,297,392.4,57.72,47.53,2631.64,0.7617,SUPV-013,MES_SHIFT
SHIFT-20251001-L02-A_Day,2025-10-01,P01,L02,A_Day,31667,27911,1180,259,415.81,42.01,41.93,2850.34,0.7882,SUPV-009,MES_SHIFT
SHIFT-20251001-L02-B_Evening,2025-10-01,P01,L02,B_Evening,28419,26955,1284,613,391.15,50.55,43.16,2580.13,0.7978,SUPV-001,MES_SHIFT
SHIFT-20251001-L02-C_Night,2025-10-01,P01,L02,C_Night,28200,25413,1327,516,408.61,56.39,45.12,2831.35,0.7919,SUPV-003,MES_SHIFT
SHIFT-20251001-L03-A_Day,2025-10-01,P02,L03,A_Day,12348,10969,264,96,424.65,25.81,47.16,1750.93,0.8112,SUPV-001,MES_SHIFT
SHIFT-20251001-L03-B_Evening,2025-10-01,P02,L03,B_Evening,15258,14888,309,73,344.62,110.78,43.33,2265.68,0.7231,SUPV-014,MES_SHIFT
SHIFT-20251001-L03-C_Night,2025-10-01,P02,L03,C_Night,12383,10405,367,120,405.32,50.11,41.24,1484.63,0.7324,SUPV-004,MES_SHIFT
SHIFT-20251001-L04-A_Day,2025-10-01,P02,L04,A_Day,11346,10366,155,46,437.64,27.36,42.4,1338.79,0.8599,SUPV-017,MES_SHIFT
SHIFT-20251001-L04-B_Evening,2025-10-01,P02,L04,B_Evening,15657,14426,655,165,406.26,47.43,43.19,1482.65,0.805,SUPV-012,MES_SHIFT
SHIFT-20251001-L04-C_Night,2025-10-01,P02,L04,C_Night,12152,10129,530,237,392.5,72.5,45.39,1140.2,0.7036,SUPV-016,MES_SHIFT
SHIFT-20251001-L05-A_Day,2025-10-01,P03,L05,A_Day,10818,9384,309,158,379.06,80.79,39.65,1533.29,0.7071,SUPV-006,MES_SHIFT
SHIFT-20251001-L05-B_Evening,2025-10-01,P03,L05,B_Evening,15294,14598,76,34,434.08,23.05,45.73,1291.98,0.891,SUPV-012,MES_SHIFT
SHIFT-20251001-L05-C_Night,2025-10-01,P03,L05,C_Night,10742,10145,292,68,416.62,20.67,47.44,1088.94,0.8462,SUPV-018,MES_SHIFT
SHIFT-20251001-L06-A_Day,2025-10-01,P03,L06,A_Day,34284,34691,666,282,389.63,59.16,44.48,2750.38,0.8479,SUPV-003,MES_SHIFT
SHIFT-20251001-L06-B_Evening,2025-10-01,P03,L06,B_Evening,26720,26078,216,68,432.27,25.49,45.72,2584.8,0.9073,SUPV-003,MES_SHIFT
SHIFT-20251001-L06-C_Night,2025-10-01,P03,L06,C_Night,25729,24585,745,221,352.0,112.42,38.62,2432.93,0.7233,SUPV-014,MES_SHIFT
SHIFT-20251002-L01-A_Day,2025-10-02,P01,L01,A_Day,17689,17048,602,122,378.44,79.31,40.29,2564.2,0.7844,SUPV-005,MES_SHIFT
SHIFT-20251002-L01-B_Evening,2025-10-02,P01,L01,B_Evening,19621,16377,680,139,360.64,85.4,43.9,1996.22,0.6474,SUPV-008,MES_SHIFT
SHIFT-20251002-L01-C_Night,2025-10-02,P01,L01,C_Night,19130,16740,450,121,383.88,57.83,39.35,2385.21,0.7224,SUPV-009,MES_SHIFT
SHIFT-20251002-L02-A_Day,2025-10-02,P01,L02,A_Day,32658,29807,1185,280,390.53,61.34,42.31,4097.06,0.7665,SUPV-011,MES_SHIFT
SHIFT-20251002-L02-B_Evening,2025-10-02,P01,L02,B_Evening,25853,22948,1010,432,385.33,79.67,38.61,3022.28,0.7355,SUPV-015,MES_SHIFT
SHIFT-20251002-L02-C_Night,2025-10-02,P01,L02,C_Night,22359,20257,633,177,414.85,40.89,39.28,2981.99,0.8083,SUPV-014,MES_SHIFT
SHIFT-20251002-L03-A_Day,2025-10-02,P02,L03,A_Day,16942,14656,263,105,395.6,55.09,44.02,1707.85,0.736,SUPV-011,MES_SHIFT
SHIFT-20251002-L03-B_Evening,2025-10-02,P02,L03,B_Evening,11838,11432,50,23,358.89,85.9,45.9,1145.03,0.7453,SUPV-015,MES_SHIFT
SHIFT-20251002-L03-C_Night,2025-10-02,P02,L03,C_Night,17497,16342,591,249,438.26,20.36,47.81,1919.17,0.8803,SUPV-005,MES_SHIFT
SHIFT-20251002-L04-A_Day,2025-10-02,P02,L04,A_Day,11162,10644,430,181,369.73,79.37,41.3,1567.33,0.7582,SUPV-008,MES_SHIFT
SHIFT-20251002-L04-B_Evening,2025-10-02,P02,L04,B_Evening,11807,11233,393,124,424.12,37.11,41.43,1295.88,0.8677,SUPV-014,MES_SHIFT
SHIFT-20251002-L04-C_Night,2025-10-02,P02,L04,C_Night,12103,12101,287,108,387.77,74.78,39.67,1665.11,0.8338,SUPV-005,MES_SHIFT
SHIFT-20251002-L05-A_Day,2025-10-02,P03,L05,A_Day,11820,10271,202,93,415.16,40.53,39.09,1233.13,0.7758,SUPV-001,MES_SHIFT
SHIFT-20251002-L05-B_Evening,2025-10-02,P03,L05,B_Evening,11821,10633,221,110,464.39,0,46.28,1140.26,0.8983,SUPV-016,MES_SHIFT
SHIFT-20251002-L05-C_Night,2025-10-02,P03,L05,C_Night,15511,14312,434,192,431.13,33.87,46.85,1486.24,0.8555,SUPV-011,MES_SHIFT
SHIFT-20251002-L06-A_Day,2025-10-02,P03,L06,A_Day,28939,25647,957,378,414.09,28.39,43.59,3950.22,0.7892,SUPV-007,MES_SHIFT
SHIFT-20251002-L06-B_Evening,2025-10-02,P03,L06,B_Evening,26856,22971,785,290,464.69,0.31,41.7,3078.27,0.8548,SUPV-002,MES_SHIFT
SHIFT-20251002-L06-C_Night,2025-10-02,P03,L06,C_Night,24758,20840,1267,329,355.99,95.06,39.56,2705.06,0.6444,SUPV-011,MES_SHIFT
