plan_id,plan_date,plant_id,line_id,product_id,planned_quantity,planned_capacity_units,capacity_utilization_plan,plan_version,planner_id,source_system
PLAN-20250913-L04,2025-09-13,P02,L04,PRD-001,24209,34380,0.704,v1,PLN-011,APS
PLAN-20250913-L05,2025-09-13,P03,L05,PRD-052,37685,44946,0.838,v2,PLN-006,APS
PLAN-20250913-L06,2025-09-13,P03,L06,PRD-003,63139,84438,0.748,v2,PLN-008,APS
PLAN-20250914-L01,2025-09-14,P01,L01,PRD-050,49003,58068,0.844,v2,PLN-007,APS
PLAN-20250914-L02,2025-09-14,P01,L02,PRD-035,67796,82062,0.826,v3,PLN-005,APS
PLAN-20250914-L03,2025-09-14,P02,L03,PRD-023,41313,52992,0.78,v1,PLN-001,APS
PLAN-20250914-L04,2025-09-14,P02,L04,PRD-017,23541,34380,0.685,v3,PLN-011,APS
PLAN-20250914-L05,2025-09-14,P03,L05,PRD-064,35442,44946,0.789,v2,PLN-010,APS
PLAN-20250914-L06,2025-09-14,P03,L06,PRD-015,63599,84438,0.753,v2,PLN-005,APS
PLAN-20250915-L01,2025-09-15,P01,L01,PRD-027,50056,58068,0.862,v2,PLN-009,APS
PLAN-20250915-L02,2025-09-15,P01,L02,PRD-002,88025,82062,1.073,v1,PLN-012,APS
PLAN-20250915-L03,2025-09-15,P02,L03,PRD-017,59863,52992,1.13,v3,PLN-003,APS
PLAN-20250915-L04,2025-09-15,P02,L04,PRD-052,32116,34380,0.934,v3,PLN-002,APS
PLAN-20250915-L05,2025-09-15,P03,L05,PRD-031,51546,44946,1.147,v1,PLN-001,APS
PLAN-20250915-L06,2025-09-15,P03,L06,PRD-067,81419,84438,0.964,v1,PLN-007,APS
PLAN-20250916-L01,2025-09-16,P01,L01,PRD-060,65884,58068,1.135,v2,PLN-004,APS
PLAN-20250916-L02,2025-09-16,P01,L02,PRD-037,76775,82062,0.936,v2,PLN-003,APS
PLAN-20250916-L03,2025-09-16,P02,L03,PRD-023,55206,52992,1.042,v2,PLN-004,APS
PLAN-20250916-L04,2025-09-16,P02,L04,PRD-032,32756,34380,0.953,v3,PLN-004,APS
PLAN-20250916-L05,2025-09-16,P03,L05,PRD-049,41771,44946,0.929,v3,PLN-009,APS
PLAN-20250916-L06,2025-09-16,P03,L06,PRD-045,92163,84438,1.091,v2,PLN-010,APS
PLAN-20250917-L01,2025-09-17,P01,L01,PRD-031,56036,58068,0.965,v1,PLN-001,APS
PLAN-20250917-L02,2025-09-17,P01,L02,PRD-024,88128,82062,1.074,v2,PLN-008,APS
PLAN-20250917-L03,2025-09-17,P02,L03,PRD-053,59831,52992,1.129,v2,PLN-009,APS
PLAN-20250917-L04,2025-09-17,P02,L04,PRD-035,36381,34380,1.058,v2,PLN-007,APS
PLAN-20250917-L05,2025-09-17,P03,L05,PRD-062,39126,44946,0.871,v3,PLN-008,APS
PLAN-20250917-L06,2025-09-17,P03,L06,PRD-035,74553,84438,0.883,v2,PLN-002,APS
PLAN-20250918-L01,2025-09-18,P01,L01,PRD-028,60493,58068,1.042,v3,PLN-008,APS
PLAN-20250918-L02,2025-09-18,P01,L02,PRD-004,78438,82062,0.956,v1,PLN-005,APS
PLAN-20250918-L03,2025-09-18,P02,L03,PRD-044,50393,52992,0.951,v1,PLN-008,APS
PLAN-20250918-L04,2025-09-18,P02,L04,PRD-046,39569,34380,1.151,v2,PLN-005,APS
PLAN-20250918-L05,2025-09-18,P03,L05,PRD-002,48845,44946,1.087,v3,PLN-009,APS
PLAN-20250918-L06,2025-09-18,P03,L06,PRD-006,74269,84438,0.88,v1,PLN-003,APS
PLAN-20250919-L01,2025-09-19,P01,L01,PRD-020,55867,58068,0.962,v1,PLN-009,APS
PLAN-20250919-L02,2025-09-19,P01,L02,PRD-029,81366,82062,0.992,v1,PLN-007,APS
PLAN-20250919-L03,2025-09-19,P02,L03,PRD-075,61106,52992,1.153,v1,PLN-009,APS
PLAN-20250919-L04,2025-09-19,P02,L04,PRD-062,38469,34380,1.119,v2,PLN-011,APS
PLAN-20250919-L05,2025-09-19,P03,L05,PRD-054,44748,44946,0.996,v2,PLN-007,APS
PLAN-20250919-L06,2025-09-19,P03,L06,PRD-059,78711,84438,0.932,v1,PLN-007,APS
PLAN-20250920-L01,2025-09-20,P01,L01,PRD-013,46544,58068,0.802,v2,PLN-001,APS
PLAN-20250920-L02,2025-09-20,P01,L02,PRD-002,52725,82062,0.643,v1,PLN-010,APS
PLAN-20250920-L03,2025-09-20,P02,L03,PRD-050,44306,52992,0.836,v1,PLN-003,APS
PLAN-20250920-L04,2025-09-20,P02,L04,PRD-005,29037,34380,0.845,v3,PLN-002,APS
PLAN-20250920-L05,2025-09-20,P03,L05,PRD-049,28880,44946,0.643,v3,PLN-004,APS
PLAN-20250920-L06,2025-09-20,P03,L06,PRD-064,72421,84438,0.858,v3,PLN-002,APS
PLAN-20250921-L01,2025-09-21,P01,L01,PRD-028,42394,58068,0.73,v3,PLN-003,APS
PLAN-20250921-L02,2025-09-21,P01,L02,PRD-071,62347,82062,0.76,v3,PLN-001,APS
PLAN-20250921-L03,2025-09-21,P02,L03,PRD-066,34333,52992,0.648,v3,PLN-008,APS
PLAN-20250921-L04,2025-09-21,P02,L04,PRD-031,28073,34380,0.817,v3,PLN-004,APS
PLAN-20250921-L05,2025-09-21,P03,L05,PRD-078,37079,44946,0.825,v2,PLN-001,APS
PLAN-20250921-L06,2025-09-21,P03,L06,PRD-054,62851,84438,0.744,v1,PLN-002,APS
PLAN-20250922-L01,2025-09-22,P01,L01,PRD-068,66727,58068,1.149,v3,PLN-001,APS
PLAN-20250922-L02,2025-09-22,P01,L02,PRD-071,80896,82062,0.986,v3,PLN-012,APS
PLAN-20250922-L03,2025-09-22,P02,L03,PRD-002,57237,52992,1.08,v1,PLN-011,APS
PLAN-20250922-L04,2025-09-22,P02,L04,PRD-040,37491,34380,1.09,v3,PLN-006,APS
PLAN-20250922-L05,2025-09-22,P03,L05,PRD-077,47515,44946,1.057,v2,PLN-003,APS
PLAN-20250922-L06,2025-09-22,P03,L06,PRD-045,86785,84438,1.028,v3,PLN-005,APS
PLAN-20250923-L01,2025-09-23,P01,L01,PRD-064,64176,58068,1.105,v2,PLN-012,APS
PLAN-20250923-L02,2025-09-23,P01,L02,PRD-001,93737,82062,1.142,v2,PLN-005,APS
PLAN-20250923-L03,2025-09-23,P02,L03,PRD-057,47982,52992,0.905,v2,PLN-011,APS
PLAN-20250923-L04,2025-09-23,P02,L04,PRD-049,32699,34380,0.951,v1,PLN-004,APS
PLAN-20250923-L05,2025-09-23,P03,L05,PRD-033,39109,44946,0.87,v3,PLN-006,APS
PLAN-20250923-L06,2025-09-23,P03,L06,PRD-024,94903,84438,1.124,v1,PLN-004,APS
PLAN-20250924-L01,2025-09-24,P01,L01,PRD-028,55945,58068,0.963,v3,PLN-004,APS
PLAN-20250924-L02,2025-09-24,P01,L02,PRD-060,90297,82062,1.1,v2,PLN-011,APS
PLAN-20250924-L03,2025-09-24,P02,L03,PRD-073,59598,52992,1.125,v1,PLN-009,APS
PLAN-20250924-L04,2025-09-24,P02,L04,PRD-040,34612,34380,1.007,v3,PLN-009,APS
PLAN-20250924-L05,2025-09-24,P03,L05,PRD-068,52491,44946,1.168,v2,PLN-005,APS
PLAN-20250924-L06,2025-09-24,P03,L06,PRD-034,79009,84438,0.936,v3,PLN-008,APS
PLAN-20250925-L01,2025-09-25,P01,L01,PRD-032,68061,58068,1.172,v1,PLN-002,APS
PLAN-20250925-L02,2025-09-25,P01,L02,PRD-030,78155,82062,0.952,v3,PLN-010,APS
PLAN-20250925-L03,2025-09-25,P02,L03,PRD-077,57746,52992,1.09,v1,PLN-004,APS
PLAN-20250925-L04,2025-09-25,P02,L04,PRD-039,36370,34380,1.058,v2,PLN-008,APS
PLAN-20250925-L05,2025-09-25,P03,L05,PRD-013,46066,44946,1.025,v3,PLN-002,APS
PLAN-20250925-L06,2025-09-25,P03,L06,PRD-061,92995,84438,1.101,v3,PLN-002,APS
PLAN-20250926-L01,2025-09-26,P01,L01,PRD-052,58669,58068,1.01,v3,PLN-010,APS
PLAN-20250926-L02,2025-09-26,P01,L02,PRD-007,95599,82062,1.165,v3,PLN-003,APS
PLAN-20250926-L03,2025-09-26,P02,L03,PRD-003,54045,52992,1.02,v2,PLN-008,APS
PLAN-20250926-L04,2025-09-26,P02,L04,PRD-017,39051,34380,1.136,v2,PLN-008,APS
PLAN-20250926-L05,2025-09-26,P03,L05,PRD-043,41742,44946,0.929,v2,PLN-002,APS
PLAN-20250926-L06,2025-09-26,P03,L06,PRD-004,90596,84438,1.073,v3,PLN-008,APS
PLAN-20250927-L01,2025-09-27,P01,L01,PRD-016,45045,58068,0.776,v1,PLN-010,APS
PLAN-20250927-L02,2025-09-27,P01,L02,PRD-017,59795,82062,0.729,v1,PLN-001,APS
PLAN-20250927-L03,2025-09-27,P02,L03,PRD-066,39944,52992,0.754,v1,PLN-004,APS
PLAN-20250927-L04,2025-09-27,P02,L04,PRD-004,22748,34380,0.662,v3,PLN-011,APS
PLAN-20250927-L05,2025-09-27,P03,L05,PRD-010,32819,44946,0.73,v3,PLN-011,APS
PLAN-20250927-L06,2025-09-27,P03,L06,PRD-004,69572,84438,0.824,v1,PLN-010,APS
PLAN-20250928-L01,2025-09-28,P01,L01,PRD-032,50561,58068,0.871,v1,PLN-004,APS
PLAN-20250928-L02,2025-09-28,P01,L02,PRD-020,67837,82062,0.827,v2,PLN-001,APS
PLAN-20250928-L03,2025-09-28,P02,L03,PRD-048,36788,52992,0.694,v3,PLN-008,APS
PLAN-20250928-L04,2025-09-28,P02,L04,PRD-024,29154,34380,0.848,v1,PLN-001,APS
PLAN-20250928-L05,2025-09-28,P03,L05,PRD-019,36315,44946,0.808,v2,PLN-001,APS
PLAN-20250928-L06,2025-09-28,P03,L06,PRD-024,63648,84438,0.754,v3,PLN-011,APS
PLAN-20250929-L01,2025-09-29,P01,L01,PRD-072,52643,58068,0.907,v2,PLN-003,APS
PLAN-20250929-L02,2025-09-29,P01,L02,PRD-062,84083,82062,1.025,v1,PLN-006,APS
PLAN-20250929-L03,2025-09-29,P02,L03,PRD-019,58656,52992,1.107,v1,PLN-001,APS
PLAN-20250929-L04,2025-09-29,P02,L04,PRD-041,31774,34380,0.924,v1,PLN-004,APS
PLAN-20250929-L05,2025-09-29,P03,L05,PRD-033,46491,44946,1.034,v2,PLN-005,APS
PLAN-20250929-L06,2025-09-29,P03,L06,PRD-006,83983,84438,0.995,v1,PLN-003,APS
PLAN-20250930-L01,2025-09-30,P01,L01,PRD-051,52683,58068,0.907,v1,PLN-007,APS
PLAN-20250930-L02,2025-09-30,P01,L02,PRD-011,75804,82062,0.924,v1,PLN-009,APS
PLAN-20250930-L03,2025-09-30,P02,L03,PRD-024,57496,52992,1.085,v2,PLN-008,APS
PLAN-20250930-L04,2025-09-30,P02,L04,PRD-079,30080,34380,0.875,v3,PLN-002,APS
PLAN-20250930-L05,2025-09-30,P03,L05,PRD-033,49212,44946,1.095,v1,PLN-012,APS
PLAN-20250930-L06,2025-09-30,P03,L06,PRD-066,84425,84438,1.0,v1,PLN-010,APS
PLAN-20251001-L01,2025-10-01,P01,L01,PRD-027,64999,58068,1.119,v1,PLN-002,APS
PLAN-20251001-L02,2025-10-01,P01,L02,PRD-005,80329,82062,0.979,v3,PLN-007,APS
PLAN-20251001-L03,2025-10-01,P02,L03,PRD-063,46005,52992,0.868,v2,PLN-011,APS
PLAN-20251001-L04,2025-10-01,P02,L04,PRD-029,40500,34380,1.178,v1,PLN-005,APS
PLAN-20251001-L05,2025-10-01,P03,L05,PRD-064,41080,44946,0.914,v3,PLN-011,APS
PLAN-20251001-L06,2025-10-01,P03,L06,PRD-045,94349,84438,1.117,v2,PLN-004,APS
PLAN-20251002-L01,2025-10-02,P01,L01,PRD-051,66328,58068,1.142,v3,PLN-005,APS
PLAN-20251002-L02,2025-10-02,P01,L02,PRD-024,82803,82062,1.009,v2,PLN-012,APS
PLAN-20251002-L03,2025-10-02,P02,L03,PRD-044,46901,52992,0.885,v1,PLN-002,APS
PLAN-20251002-L04,2025-10-02,P02,L04,PRD-010,30826,34380,0.897,v1,PLN-004,APS
PLAN-20251002-L05,2025-10-02,P03,L05,PRD-009,43212,44946,0.961,v1,PLN-007,APS
PLAN-20251002-L06,2025-10-02,P03,L06,PRD-051,98259,84438,1.164,v3,PLN-011,APS
PLAN-20251003-L01,2025-10-03,P01,L01,PRD-016,60658,58068,1.045,v2,PLN-002,APS
PLAN-20251003-L02,2025-10-03,P01,L02,PRD-060,83027,82062,1.012,v1,PLN-004,APS
PLAN-20251003-L03,2025-10-03,P02,L03,PRD-027,59069,52992,1.115,v1,PLN-006,APS
PLAN-20251003-L04,2025-10-03,P02,L04,PRD-010,40747,34380,1.185,v1,PLN-009,APS
PLAN-20251003-L05,2025-10-03,P03,L05,PRD-045,45980,44946,1.023,v3,PLN-007,APS
PLAN-20251003-L06,2025-10-03,P03,L06,PRD-014,94294,84438,1.117,v1,PLN-001,APS
PLAN-20251004-L01,2025-10-04,P01,L01,PRD-060,47480,58068,0.818,v1,PLN-005,APS
PLAN-20251004-L02,2025-10-04,P01,L02,PRD-045,65115,82062,0.793,v1,PLN-001,APS
PLAN-20251004-L03,2025-10-04,P02,L03,PRD-058,41096,52992,0.776,v2,PLN-001,APS
PLAN-20251004-L04,2025-10-04,P02,L04,PRD-078,27102,34380,0.788,v3,PLN-010,APS
PLAN-20251004-L05,2025-10-04,P03,L05,PRD-013,35748,44946,0.795,v2,PLN-011,APS
PLAN-20251004-L06,2025-10-04,P03,L06,PRD-037,55283,84438,0.655,v1,PLN-003,APS
PLAN-20251005-L01,2025-10-05,P01,L01,PRD-061,47043,58068,0.81,v3,PLN-009,APS
PLAN-20251005-L02,2025-10-05,P01,L02,PRD-037,62496,82062,0.762,v2,PLN-008,APS
PLAN-20251005-L03,2025-10-05,P02,L03,PRD-066,36660,52992,0.692,v2,PLN-006,APS
PLAN-20251005-L04,2025-10-05,P02,L04,PRD-011,23365,34380,0.68,v3,PLN-003,APS
PLAN-20251005-L05,2025-10-05,P03,L05,PRD-002,32116,44946,0.715,v2,PLN-007,APS
PLAN-20251005-L06,2025-10-05,P03,L06,PRD-010,55701,84438,0.66,v1,PLN-009,APS
PLAN-20251006-L01,2025-10-06,P01,L01,PRD-068,63009,58068,1.085,v2,PLN-003,APS
PLAN-20251006-L02,2025-10-06,P01,L02,PRD-060,80522,82062,0.981,v1,PLN-008,APS
PLAN-20251006-L03,2025-10-06,P02,L03,PRD-027,56937,52992,1.074,v3,PLN-011,APS
PLAN-20251006-L04,2025-10-06,P02,L04,PRD-003,35532,34380,1.034,v2,PLN-001,APS
PLAN-20251006-L05,2025-10-06,P03,L05,PRD-056,52900,44946,1.177,v3,PLN-001,APS
PLAN-20251006-L06,2025-10-06,P03,L06,PRD-078,76736,84438,0.909,v3,PLN-005,APS
PLAN-20251007-L01,2025-10-07,P01,L01,PRD-020,52124,58068,0.898,v3,PLN-001,APS
PLAN-20251007-L02,2025-10-07,P01,L02,PRD-048,87795,82062,1.07,v2,PLN-004,APS
PLAN-20251007-L03,2025-10-07,P02,L03,PRD-077,55228,52992,1.042,v1,PLN-007,APS
PLAN-20251007-L04,2025-10-07,P02,L04,PRD-005,36423,34380,1.059,v2,PLN-010,APS
PLAN-20251007-L05,2025-10-07,P03,L05,PRD-010,49488,44946,1.101,v3,PLN-007,APS
PLAN-20251007-L06,2025-10-07,P03,L06,PRD-034,95795,84438,1.135,v3,PLN-011,APS
PLAN-20251008-L01,2025-10-08,P01,L01,PRD-050,55067,58068,0.948,v3,PLN-009,APS
PLAN-20251008-L02,2025-10-08,P01,L02,PRD-064,79198,82062,0.965,v3,PLN-010,APS
PLAN-20251008-L03,2025-10-08,P02,L03,PRD-015,55033,52992,1.039,v3,PLN-011,APS
PLAN-20251008-L04,2025-10-08,P02,L04,PRD-024,31311,34380,0.911,v3,PLN-004,APS
PLAN-20251008-L05,2025-10-08,P03,L05,PRD-006,42986,44946,0.956,v2,PLN-010,APS
PLAN-20251008-L06,2025-10-08,P03,L06,PRD-009,75072,84438,0.889,v2,PLN-009,APS
PLAN-20251009-L01,2025-10-09,P01,L01,PRD-079,66923,58068,1.152,v2,PLN-005,APS
PLAN-20251009-L02,2025-10-09,P01,L02,PRD-062,82164,82062,1.001,v1,PLN-004,APS
PLAN-20251009-L03,2025-10-09,P02,L03,PRD-003,56026,52992,1.057,v2,PLN-003,APS
PLAN-20251009-L04,2025-10-09,P02,L04,PRD-039,40478,34380,1.177,v3,PLN-001,APS
PLAN-20251009-L05,2025-10-09,P03,L05,PRD-010,47245,44946,1.051,v1,PLN-010,APS
PLAN-20251009-L06,2025-10-09,P03,L06,PRD-034,85798,84438,1.016,v2,PLN-011,APS
PLAN-20251010-L01,2025-10-10,P01,L01,PRD-059,61092,58068,1.052,v2,PLN-005,APS
PLAN-20251010-L02,2025-10-10,P01,L02,PRD-004,94571,82062,1.152,v1,PLN-006,APS
PLAN-20251010-L03,2025-10-10,P02,L03,PRD-069,54765,52992,1.033,v3,PLN-008,APS
PLAN-20251010-L04,2025-10-10,P02,L04,PRD-066,32980,34380,0.959,v2,PLN-001,APS
PLAN-20251010-L05,2025-10-10,P03,L05,PRD-029,41462,44946,0.922,v1,PLN-006,APS
PLAN-20251010-L06,2025-10-10,P03,L06,PRD-003,82795,84438,0.981,v2,PLN-012,APS
PLAN-20251011-L01,2025-10-11,P01,L01,PRD-029,40317,58068,0.694,v2,PLN-008,APS
PLAN-20251011-L02,2025-10-11,P01,L02,PRD-004,67603,82062,0.824,v1,PLN-011,APS
PLAN-20251011-L03,2025-10-11,P02,L03,PRD-057,35353,52992,0.667,v3,PLN-001,APS
PLAN-20251011-L04,2025-10-11,P02,L04,PRD-062,26462,34380,0.77,v3,PLN-005,APS
PLAN-20251011-L05,2025-10-11,P03,L05,PRD-015,33312,44946,0.741,v3,PLN-003,APS
PLAN-20251011-L06,2025-10-11,P03,L06,PRD-013,58090,84438,0.688,v1,PLN-001,APS
PLAN-20251012-L01,2025-10-12,P01,L01,PRD-066,45561,58068,0.785,v1,PLN-011,APS
PLAN-20251012-L02,2025-10-12,P01,L02,PRD-048,58504,82062,0.713,v3,PLN-011,APS
PLAN-20251012-L03,2025-10-12,P02,L03,PRD-045,36105,52992,0.681,v1,PLN-002,APS
PLAN-20251012-L04,2025-10-12,P02,L04,PRD-010,23940,34380,0.696,v3,PLN-003,APS
PLAN-20251012-L05,2025-10-12,P03,L05,PRD-006,29875,44946,0.665,v3,PLN-001,APS
PLAN-20251012-L06,2025-10-12,P03,L06,PRD-071,72135,84438,0.854,v2,PLN-007,APS
PLAN-20251013-L01,2025-10-13,P01,L01,PRD-051,51555,58068,0.888,v3,PLN-007,APS
PLAN-20251013-L02,2025-10-13,P01,L02,PRD-036,88223,82062,1.075,v2,PLN-011,APS
PLAN-20251013-L03,2025-10-13,P02,L03,PRD-057,51991,52992,0.981,v3,PLN-003,APS
PLAN-20251013-L04,2025-10-13,P02,L04,PRD-035,38260,34380,1.113,v2,PLN-001,APS
PLAN-20251013-L05,2025-10-13,P03,L05,PRD-077,45494,44946,1.012,v2,PLN-007,APS
PLAN-20251013-L06,2025-10-13,P03,L06,PRD-078,99909,84438,1.183,v2,PLN-010,APS
PLAN-20251014-L01,2025-10-14,P01,L01,PRD-072,60990,58068,1.05,v3,PLN-005,APS
PLAN-20251014-L02,2025-10-14,P01,L02,PRD-031,90248,82062,1.1,v2,PLN-007,APS
PLAN-20251014-L03,2025-10-14,P02,L03,PRD-015,53798,52992,1.015,v2,PLN-011,APS
PLAN-20251014-L04,2025-10-14,P02,L04,PRD-001,36375,34380,1.058,v2,PLN-011,APS
PLAN-20251014-L05,2025-10-14,P03,L05,PRD-007,40143,44946,0.893,v1,PLN-005,APS
PLAN-20251014-L06,2025-10-14,P03,L06,PRD-004,94999,84438,1.125,v2,PLN-004,APS
PLAN-20251015-L01,2025-10-15,P01,L01,PRD-052,61868,58068,1.065,v2,PLN-006,APS
PLAN-20251015-L02,2025-10-15,P01,L02,PRD-022,91576,82062,1.116,v2,PLN-005,APS
PLAN-20251015-L03,2025-10-15,P02,L03,PRD-043,50507,52992,0.953,v1,PLN-004,APS
PLAN-20251015-L04,2025-10-15,P02,L04,PRD-006,35002,34380,1.018,v1,PLN-010,APS
PLAN-20251015-L05,2025-10-15,P03,L05,PRD-056,40101,44946,0.892,v3,PLN-003,APS
PLAN-20251015-L06,2025-10-15,P03,L06,PRD-010,91475,84438,1.083,v1,PLN-003,APS
PLAN-20251016-L01,2025-10-16,P01,L01,PRD-027,57950,58068,0.998,v3,PLN-003,APS
PLAN-20251016-L02,2025-10-16,P01,L02,PRD-039,74203,82062,0.904,v2,PLN-010,APS
PLAN-20251016-L03,2025-10-16,P02,L03,PRD-053,49331,52992,0.931,v3,PLN-010,APS
PLAN-20251016-L04,2025-10-16,P02,L04,PRD-029,36167,34380,1.052,v3,PLN-002,APS
PLAN-20251016-L05,2025-10-16,P03,L05,PRD-033,53069,44946,1.181,v3,PLN-004,APS
PLAN-20251016-L06,2025-10-16,P03,L06,PRD-037,84114,84438,0.996,v1,PLN-009,APS
PLAN-20251017-L01,2025-10-17,P01,L01,PRD-013,53769,58068,0.926,v2,PLN-008,APS
PLAN-20251017-L02,2025-10-17,P01,L02,PRD-045,97519,82062,1.188,v3,PLN-006,APS
PLAN-20251017-L03,2025-10-17,P02,L03,PRD-037,56900,52992,1.074,v2,PLN-004,APS
PLAN-20251017-L04,2025-10-17,P02,L04,PRD-067,32053,34380,0.932,v1,PLN-002,APS
PLAN-20251017-L05,2025-10-17,P03,L05,PRD-062,41885,44946,0.932,v1,PLN-011,APS
PLAN-20251017-L06,2025-10-17,P03,L06,PRD-014,93669,84438,1.109,v1,PLN-009,APS
PLAN-20251018-L01,2025-10-18,P01,L01,PRD-023,51494,58068,0.887,v1,PLN-008,APS
PLAN-20251018-L02,2025-10-18,P01,L02,PRD-037,66756,82062,0.813,v3,PLN-005,APS
PLAN-20251018-L03,2025-10-18,P02,L03,PRD-003,45236,52992,0.854,v1,PLN-010,APS
PLAN-20251018-L04,2025-10-18,P02,L04,PRD-004,24846,34380,0.723,v1,PLN-007,APS
PLAN-20251018-L05,2025-10-18,P03,L05,PRD-073,29920,44946,0.666,v2,PLN-007,APS
PLAN-20251018-L06,2025-10-18,P03,L06,PRD-035,58929,84438,0.698,v3,PLN-009,APS
PLAN-20251019-L01,2025-10-19,P01,L01,PRD-032,38436,58068,0.662,v2,PLN-005,APS
PLAN-20251019-L02,2025-10-19,P01,L02,PRD-039,62578,82062,0.763,v3,PLN-007,APS
PLAN-20251019-L03,2025-10-19,P02,L03,PRD-015,41541,52992,0.784,v2,PLN-004,APS
PLAN-20251019-L04,2025-10-19,P02,L04,PRD-062,26843,34380,0.781,v3,PLN-011,APS
PLAN-20251019-L05,2025-10-19,P03,L05,PRD-052,35786,44946,0.796,v1,PLN-012,APS
PLAN-20251019-L06,2025-10-19,P03,L06,PRD-073,60825,84438,0.72,v1,PLN-002,APS
PLAN-20251020-L01,2025-10-20,P01,L01,PRD-025,51659,58068,0.89,v1,PLN-005,APS
PLAN-20251020-L02,2025-10-20,P01,L02,PRD-030,92657,82062,1.129,v3,PLN-009,APS
PLAN-20251020-L03,2025-10-20,P02,L03,PRD-003,61774,52992,1.166,v2,PLN-003,APS
PLAN-20251020-L04,2025-10-20,P02,L04,PRD-024,36723,34380,1.068,v1,PLN-004,APS
PLAN-20251020-L05,2025-10-20,P03,L05,PRD-010,47451,44946,1.056,v2,PLN-005,APS
PLAN-20251020-L06,2025-10-20,P03,L06,PRD-058,96329,84438,1.141,v2,PLN-006,APS
PLAN-20251021-L01,2025-10-21,P01,L01,PRD-034,60605,58068,1.044,v2,PLN-006,APS
PLAN-20251021-L02,2025-10-21,P01,L02,PRD-066,88341,82062,1.077,v2,PLN-008,APS
PLAN-20251021-L03,2025-10-21,P02,L03,PRD-003,54933,52992,1.037,v2,PLN-002,APS
PLAN-20251021-L04,2025-10-21,P02,L04,PRD-006,38450,34380,1.118,v2,PLN-010,APS
PLAN-20251021-L05,2025-10-21,P03,L05,PRD-021,47319,44946,1.053,v1,PLN-001,APS
PLAN-20251021-L06,2025-10-21,P03,L06,PRD-034,93494,84438,1.107,v1,PLN-012,APS
PLAN-20251022-L01,2025-10-22,P01,L01,PRD-008,59325,58068,1.022,v1,PLN-001,APS
PLAN-20251022-L02,2025-10-22,P01,L02,PRD-075,93361,82062,1.138,v2,PLN-002,APS
PLAN-20251022-L03,2025-10-22,P02,L03,PRD-075,56360,52992,1.064,v3,PLN-011,APS
PLAN-20251022-L04,2025-10-22,P02,L04,PRD-013,40093,34380,1.166,v1,PLN-011,APS
PLAN-20251022-L05,2025-10-22,P03,L05,PRD-009,52416,44946,1.166,v2,PLN-011,APS
PLAN-20251022-L06,2025-10-22,P03,L06,PRD-054,85520,84438,1.013,v1,PLN-004,APS
PLAN-20251023-L01,2025-10-23,P01,L01,PRD-052,65428,58068,1.127,v2,PLN-012,APS
PLAN-20251023-L02,2025-10-23,P01,L02,PRD-064,92692,82062,1.13,v1,PLN-004,APS
PLAN-20251023-L03,2025-10-23,P02,L03,PRD-069,54422,52992,1.027,v1,PLN-009,APS
PLAN-20251023-L04,2025-10-23,P02,L04,PRD-017,37654,34380,1.095,v2,PLN-009,APS
PLAN-20251023-L05,2025-10-23,P03,L05,PRD-006,45578,44946,1.014,v3,PLN-010,APS
PLAN-20251023-L06,2025-10-23,P03,L06,PRD-064,97311,84438,1.152,v1,PLN-003,APS
PLAN-20251024-L01,2025-10-24,P01,L01,PRD-028,68451,58068,1.179,v2,PLN-001,APS
PLAN-20251024-L02,2025-10-24,P01,L02,PRD-017,80665,82062,0.983,v1,PLN-011,APS
PLAN-20251024-L03,2025-10-24,P02,L03,PRD-024,57699,52992,1.089,v2,PLN-004,APS
PLAN-20251024-L04,2025-10-24,P02,L04,PRD-017,38726,34380,1.126,v2,PLN-004,APS
PLAN-20251024-L05,2025-10-24,P03,L05,PRD-073,49195,44946,1.095,v1,PLN-004,APS
PLAN-20251024-L06,2025-10-24,P03,L06,PRD-073,91299,84438,1.081,v2,PLN-009,APS
PLAN-20251025-L01,2025-10-25,P01,L01,PRD-051,41139,58068,0.708,v1,PLN-001,APS
PLAN-20251025-L02,2025-10-25,P01,L02,PRD-060,58064,82062,0.708,v1,PLN-010,APS
PLAN-20251025-L03,2025-10-25,P02,L03,PRD-071,47538,52992,0.897,v2,PLN-002,APS
PLAN-20251025-L04,2025-10-25,P02,L04,PRD-011,27805,34380,0.809,v2,PLN-008,APS
PLAN-20251025-L05,2025-10-25,P03,L05,PRD-077,35715,44946,0.795,v1,PLN-009,APS
PLAN-20251025-L06,2025-10-25,P03,L06,PRD-006,66886,84438,0.792,v2,PLN-002,APS
PLAN-20251026-L01,2025-10-26,P01,L01,PRD-078,43540,58068,0.75,v3,PLN-009,APS
PLAN-20251026-L02,2025-10-26,P01,L02,PRD-045,59191,82062,0.721,v3,PLN-004,APS
PLAN-20251026-L03,2025-10-26,P02,L03,PRD-042,38120,52992,0.719,v3,PLN-007,APS
PLAN-20251026-L04,2025-10-26,P02,L04,PRD-042,30364,34380,0.883,v2,PLN-010,APS
PLAN-20251026-L05,2025-10-26,P03,L05,PRD-054,32137,44946,0.715,v3,PLN-012,APS
PLAN-20251026-L06,2025-10-26,P03,L06,PRD-056,67077,84438,0.794,v3,PLN-001,APS
PLAN-20251027-L01,2025-10-27,P01,L01,PRD-050,65117,58068,1.121,v3,PLN-004,APS
