case_id,run_id,operator_fairness_group,true_high_defect_risk,model_score_unmitigated,model_score_mitigated,prediction_threshold,human_review_required
FAIR-000871,RUN-003865,G3_junior,0,0.403,0.283,0.5,0
FAIR-000872,RUN-003270,G2_mid,1,0.6627,0.6627,0.5,1
FAIR-000873,RUN-004839,G3_junior,0,0.12,0,0.5,0
FAIR-000874,RUN-002484,G2_mid,0,0.019,0.019,0.5,0
FAIR-000875,RUN-001337,G3_junior,1,0.8397,0.7197,0.5,1
FAIR-000876,RUN-006760,G3_junior,1,0.8547,0.7347,0.5,1
FAIR-000877,RUN-003049,G2_mid,0,0.2805,0.2805,0.5,0
FAIR-000878,RUN-001891,G2_mid,0,0.3664,0.3664,0.5,0
FAIR-000879,RUN-001527,G2_mid,0,0.1895,0.1895,0.5,0
FAIR-000880,RUN-003889,G2_mid,0,0.0714,0.0714,0.5,0
FAIR-000881,RUN-004879,G3_junior,0,0.5897,0.4697,0.5,0
FAIR-000882,RUN-002430,G3_junior,0,0.3292,0.2092,0.5,0
FAIR-000883,RUN-010405,G3_junior,1,0.9971,0.8771,0.5,1
FAIR-000884,RUN-001358,G3_junior,0,0.4178,0.2978,0.5,0
FAIR-000885,RUN-002034,G3_junior,1,0.8808,0.7608,0.5,1
FAIR-000886,RUN-001642,G3_junior,0,0.2317,0.1117,0.5,0
FAIR-000887,RUN-007748,G0_unknown,0,0.2948,0.2948,0.5,0
FAIR-000888,RUN-003923,G1_senior,0,0.0513,0.0913,0.5,0
FAIR-000889,RUN-001302,G3_junior,0,0.12,0,0.5,0
FAIR-000890,RUN-001031,G2_mid,0,0,0,0.5,0
FAIR-000891,RUN-008749,G1_senior,0,0.2306,0.2706,0.5,0
FAIR-000892,RUN-005160,G1_senior,0,0.1037,0.1437,0.5,0
FAIR-000893,RUN-000655,G2_mid,0,0.1378,0.1378,0.5,0
FAIR-000894,RUN-000976,G3_junior,0,0.4177,0.2977,0.5,0
FAIR-000895,RUN-005253,G3_junior,0,0.2448,0.1248,0.5,0
FAIR-000896,RUN-010540,G3_junior,1,1,0.9004,0.5,1
FAIR-000897,RUN-003834,G3_junior,0,0.3764,0.2564,0.5,0
FAIR-000898,RUN-009256,G2_mid,1,0.5673,0.5673,0.5,0
FAIR-000899,RUN-007590,G3_junior,0,0.2568,0.1368,0.5,0
FAIR-000900,RUN-006350,G3_junior,0,0.12,0,0.5,0
FAIR-000901,RUN-006230,G2_mid,1,0.7811,0.7811,0.5,1
FAIR-000902,RUN-008675,G3_junior,1,0.9756,0.8556,0.5,1
FAIR-000903,RUN-008995,G2_mid,0,0.2338,0.2338,0.5,0
FAIR-000904,RUN-005089,G3_junior,1,0.9621,0.8421,0.5,1
FAIR-000905,RUN-000102,G3_junior,0,0.2968,0.1768,0.5,0
FAIR-000906,RUN-007514,G2_mid,0,0.0548,0.0548,0.5,0
FAIR-000907,RUN-004481,G2_mid,0,0.2822,0.2822,0.5,0
FAIR-000908,RUN-008364,G3_junior,1,0.9531,0.8331,0.5,1
FAIR-000909,RUN-005142,G2_mid,1,0.7567,0.7567,0.5,1
FAIR-000910,RUN-007942,G3_junior,0,0.2464,0.1264,0.5,0
FAIR-000911,RUN-006803,G1_senior,0,0.3311,0.3711,0.5,0
FAIR-000912,RUN-011213,G2_mid,0,0.1634,0.1634,0.5,0
FAIR-000913,RUN-008400,G1_senior,1,0.8523,0.8923,0.5,1
FAIR-000914,RUN-002539,G2_mid,0,0.2466,0.2466,0.5,0
FAIR-000915,RUN-007770,G3_junior,1,0.6294,0.5094,0.5,0
FAIR-000916,RUN-002886,G1_senior,0,0.3596,0.3996,0.5,0
FAIR-000917,RUN-005429,G1_senior,0,0.4362,0.4762,0.5,0
FAIR-000918,RUN-010593,G2_mid,1,0.8324,0.8324,0.5,1
FAIR-000919,RUN-002409,G3_junior,0,0.25,0.13,0.5,0
FAIR-000920,RUN-006068,G3_junior,0,0.556,0.436,0.5,0
FAIR-000921,RUN-001750,G3_junior,0,0.1733,0.0533,0.5,0
FAIR-000922,RUN-011272,G2_mid,0,0.1996,0.1996,0.5,0
FAIR-000923,RUN-002234,G2_mid,1,0.4623,0.4623,0.5,0
FAIR-000924,RUN-006263,G3_junior,0,0.2379,0.1179,0.5,0
FAIR-000925,RUN-005763,G3_junior,0,0.3421,0.2221,0.5,0
FAIR-000926,RUN-003905,G1_senior,0,0.1741,0.2141,0.5,0
FAIR-000927,RUN-003817,G3_junior,1,0.6783,0.5583,0.5,1
FAIR-000928,RUN-009037,G2_mid,1,0.7604,0.7604,0.5,1
FAIR-000929,RUN-001870,G2_mid,1,0.6427,0.6427,0.5,0
FAIR-000930,RUN-008169,G3_junior,1,0.8678,0.7478,0.5,1
FAIR-000931,RUN-000417,G3_junior,1,0.7385,0.6185,0.5,1
FAIR-000932,RUN-005874,G2_mid,1,0.5743,0.5743,0.5,0
FAIR-000933,RUN-000451,G3_junior,0,0.3434,0.2234,0.5,0
FAIR-000934,RUN-009518,G3_junior,1,0.5983,0.4783,0.5,0
FAIR-000935,RUN-007362,G3_junior,1,0.7425,0.6225,0.5,1
FAIR-000936,RUN-003887,G1_senior,1,0.7667,0.8067,0.5,1
FAIR-000937,RUN-008478,G1_senior,1,0.8214,0.8614,0.5,1
FAIR-000938,RUN-001276,G1_senior,0,0.0364,0.0764,0.5,0
FAIR-000939,RUN-004668,G2_mid,0,0,0,0.5,0
FAIR-000940,RUN-001309,G2_mid,0,0.3274,0.3274,0.5,0
FAIR-000941,RUN-009336,G3_junior,1,0.6457,0.5257,0.5,0
FAIR-000942,RUN-003055,G3_junior,0,0.12,0,0.5,0
FAIR-000943,RUN-005798,G3_junior,1,0.6427,0.5227,0.5,0
FAIR-000944,RUN-011310,G1_senior,0,0.0529,0.0929,0.5,0
FAIR-000945,RUN-000414,G2_mid,1,0.6028,0.6028,0.5,0
FAIR-000946,RUN-005256,G1_senior,0,0.1715,0.2115,0.5,0
FAIR-000947,RUN-005938,G3_junior,0,0.297,0.177,0.5,0
FAIR-000948,RUN-005291,G3_junior,1,0.7715,0.6515,0.5,1
FAIR-000949,RUN-005988,G2_mid,1,0.5983,0.5983,0.5,0
FAIR-000950,RUN-007011,G1_senior,0,0.163,0.203,0.5,0
FAIR-000951,RUN-006950,G0_unknown,1,0.802,0.802,0.5,1
FAIR-000952,RUN-007208,G3_junior,1,0.6427,0.5227,0.5,0
FAIR-000953,RUN-010680,G1_senior,0,0.3324,0.3724,0.5,0
FAIR-000954,RUN-001654,G1_senior,0,0.1593,0.1993,0.5,0
FAIR-000955,RUN-003301,G2_mid,0,0.1269,0.1269,0.5,0
FAIR-000956,RUN-002625,G0_unknown,1,0.6588,0.6588,0.5,1
FAIR-000957,RUN-008993,G2_mid,0,0.292,0.292,0.5,0
FAIR-000958,RUN-005328,G2_mid,1,0.691,0.691,0.5,1
FAIR-000959,RUN-005607,G3_junior,0,0.3486,0.2286,0.5,0
FAIR-000960,RUN-004609,G2_mid,0,0.1513,0.1513,0.5,0
FAIR-000961,RUN-004932,G3_junior,0,0.2204,0.1004,0.5,0
FAIR-000962,RUN-007157,G3_junior,0,0.172,0.052,0.5,0
FAIR-000963,RUN-009433,G3_junior,0,0.1897,0.0697,0.5,0
FAIR-000964,RUN-004897,G3_junior,0,0.1782,0.0582,0.5,0
FAIR-000965,RUN-002483,G2_mid,0,0.1879,0.1879,0.5,0
FAIR-000966,RUN-005917,G3_junior,0,0.3524,0.2324,0.5,0
FAIR-000967,RUN-007213,G3_junior,1,0.9235,0.8035,0.5,1
FAIR-000968,RUN-008652,G3_junior,0,0.383,0.263,0.5,0
FAIR-000969,RUN-000690,G2_mid,1,0.3832,0.3832,0.5,0
FAIR-000970,RUN-002991,G3_junior,0,0.2411,0.1211,0.5,0
FAIR-000971,RUN-005723,G1_senior,0,0.0485,0.0885,0.5,0
FAIR-000972,RUN-010427,G3_junior,1,1,0.9821,0.5,1
FAIR-000973,RUN-010661,G3_junior,1,0.7571,0.6371,0.5,1
FAIR-000974,RUN-005401,G3_junior,0,0.3179,0.1979,0.5,0
FAIR-000975,RUN-002259,G3_junior,1,0.7247,0.6047,0.5,1
FAIR-000976,RUN-010355,G3_junior,0,0.1949,0.0749,0.5,0
FAIR-000977,RUN-001860,G1_senior,1,0.4347,0.4747,0.5,0
FAIR-000978,RUN-010053,G3_junior,1,0.9325,0.8125,0.5,1
FAIR-000979,RUN-004259,G3_junior,0,0.1871,0.0671,0.5,0
FAIR-000980,RUN-006654,G1_senior,0,0.1512,0.1912,0.5,0
FAIR-000981,RUN-011252,G3_junior,1,0.5824,0.4624,0.5,0
FAIR-000982,RUN-006172,G2_mid,1,0.7069,0.7069,0.5,1
FAIR-000983,RUN-011351,G3_junior,0,0.3156,0.1956,0.5,0
FAIR-000984,RUN-011054,G2_mid,0,0.0274,0.0274,0.5,0
FAIR-000985,RUN-003724,G3_junior,0,0.2987,0.1787,0.5,0
FAIR-000986,RUN-005402,G3_junior,0,0.4893,0.3693,0.5,0
FAIR-000987,RUN-008930,G2_mid,1,0.8328,0.8328,0.5,1
FAIR-000988,RUN-005416,G1_senior,0,0.0179,0.0579,0.5,0
FAIR-000989,RUN-007595,G2_mid,0,0.3338,0.3338,0.5,0
FAIR-000990,RUN-004983,G3_junior,0,0.12,0,0.5,0
FAIR-000991,RUN-009331,G3_junior,1,0.5899,0.4699,0.5,0
FAIR-000992,RUN-001985,G1_senior,0,0.2055,0.2455,0.5,0
FAIR-000993,RUN-010353,G2_mid,0,0.203,0.203,0.5,0
FAIR-000994,RUN-008019,G3_junior,0,0.402,0.282,0.5,0
FAIR-000995,RUN-001576,G3_junior,0,0.4229,0.3029,0.5,0
FAIR-000996,RUN-010315,G3_junior,0,0.3174,0.1974,0.5,0
FAIR-000997,RUN-000499,G1_senior,0,0.2427,0.2827,0.5,0
FAIR-000998,RUN-006166,G2_mid,1,0.443,0.443,0.5,0
FAIR-000999,RUN-002254,G2_mid,0,0,0,0.5,0
FAIR-001000,RUN-003300,G3_junior,0,0.3259,0.2059,0.5,0
FAIR-001001,RUN-010397,G2_mid,0,0.1555,0.1555,0.5,0
FAIR-001002,RUN-002478,G3_junior,0,0.3647,0.2447,0.5,0
FAIR-001003,RUN-004013,G3_junior,1,0.8712,0.7512,0.5,1
FAIR-001004,RUN-005368,G3_junior,0,0.4881,0.3681,0.5,0
FAIR-001005,RUN-008273,G3_junior,0,0.3028,0.1828,0.5,0
FAIR-001006,RUN-001111,G2_mid,1,0.5759,0.5759,0.5,0
FAIR-001007,RUN-010432,G3_junior,0,0.1601,0.0401,0.5,0
FAIR-001008,RUN-003358,G3_junior,0,0.1417,0.0217,0.5,0
FAIR-001009,RUN-003012,G3_junior,1,0.8245,0.7045,0.5,1
FAIR-001010,RUN-003994,G3_junior,1,0.7178,0.5978,0.5,1
FAIR-001011,RUN-001605,G3_junior,0,0.4238,0.3038,0.5,0
FAIR-001012,RUN-007874,G3_junior,0,0.4065,0.2865,0.5,0
FAIR-001013,RUN-004151,G3_junior,1,0.9443,0.8243,0.5,1
FAIR-001014,RUN-005295,G3_junior,0,0.1949,0.0749,0.5,0
FAIR-001015,RUN-010518,G3_junior,0,0.12,0,0.5,0
FAIR-001016,RUN-009791,G3_junior,0,0.328,0.208,0.5,0
FAIR-001017,RUN-007759,G1_senior,0,0.0301,0.0701,0.5,0
FAIR-001018,RUN-002151,G1_senior,0,0.0384,0.0784,0.5,0
FAIR-001019,RUN-007791,G3_junior,1,1,0.886,0.5,1
FAIR-001020,RUN-001482,G3_junior,1,0.5815,0.4615,0.5,0
FAIR-001021,RUN-002820,G3_junior,0,0.2694,0.1494,0.5,0
FAIR-001022,RUN-008250,G3_junior,0,0.2807,0.1607,0.5,0
FAIR-001023,RUN-003656,G3_junior,1,0.9904,0.8704,0.5,1
FAIR-001024,RUN-001051,G2_mid,0,0.0063,0.0063,0.5,0
FAIR-001025,RUN-008377,G2_mid,0,0.3998,0.3998,0.5,0
FAIR-001026,RUN-009259,G3_junior,1,0.9164,0.7964,0.5,1
FAIR-001027,RUN-005315,G1_senior,0,0.1211,0.1611,0.5,0
FAIR-001028,RUN-006520,G3_junior,1,0.6547,0.5347,0.5,1
FAIR-001029,RUN-002655,G1_senior,0,0.0602,0.1002,0.5,0
FAIR-001030,RUN-002558,G3_junior,0,0.1359,0.0159,0.5,0
FAIR-001031,RUN-000809,G3_junior,0,0.2804,0.1604,0.5,0
FAIR-001032,RUN-004555,G0_unknown,1,0.7138,0.7138,0.5,1
FAIR-001033,RUN-010345,G2_mid,0,0.1743,0.1743,0.5,0
FAIR-001034,RUN-005259,G2_mid,0,0.3085,0.3085,0.5,0
FAIR-001035,RUN-009105,G3_junior,1,0.7096,0.5896,0.5,1
FAIR-001036,RUN-008833,G3_junior,1,0.5213,0.4013,0.5,0
FAIR-001037,RUN-011062,G3_junior,0,0.5468,0.4268,0.5,0
FAIR-001038,RUN-009545,G1_senior,1,0.3385,0.3785,0.5,0
FAIR-001039,RUN-003120,G3_junior,0,0.1846,0.0646,0.5,0
FAIR-001040,RUN-007376,G3_junior,0,0.3039,0.1839,0.5,0
FAIR-001041,RUN-004936,G1_senior,1,0.9002,0.9402,0.5,1
FAIR-001042,RUN-003056,G3_junior,0,0.12,0,0.5,0
FAIR-001043,RUN-007303,G3_junior,0,0.5803,0.4603,0.5,0
FAIR-001044,RUN-010064,G3_junior,1,0.8998,0.7798,0.5,1
FAIR-001045,RUN-006535,G1_senior,0,0,0,0.5,0
FAIR-001046,RUN-004332,G1_senior,0,0,0.0388,0.5,0
FAIR-001047,RUN-004570,G3_junior,0,0.1885,0.0685,0.5,0
FAIR-001048,RUN-001796,G3_junior,0,0.2203,0.1003,0.5,0
FAIR-001049,RUN-004543,G1_senior,0,0.1862,0.2262,0.5,0
FAIR-001050,RUN-004893,G3_junior,0,0.1509,0.0309,0.5,0
FAIR-001051,RUN-001843,G1_senior,1,0.606,0.646,0.5,0
FAIR-001052,RUN-002749,G3_junior,0,0.5425,0.4225,0.5,0
FAIR-001053,RUN-008695,G3_junior,1,0.8136,0.6936,0.5,1
FAIR-001054,RUN-005553,G2_mid,0,0.3349,0.3349,0.5,0
FAIR-001055,RUN-005703,G2_mid,1,0.7169,0.7169,0.5,1
FAIR-001056,RUN-011115,G1_senior,0,0.0773,0.1173,0.5,0
FAIR-001057,RUN-004672,G3_junior,0,0.2961,0.1761,0.5,0
FAIR-001058,RUN-007546,G2_mid,0,0.145,0.145,0.5,0
FAIR-001059,RUN-002636,G3_junior,1,0.6019,0.4819,0.5,0
FAIR-001060,RUN-001211,G3_junior,1,0.9108,0.7908,0.5,1
FAIR-001061,RUN-004321,G1_senior,0,0,0.0065,0.5,0
FAIR-001062,RUN-002647,G1_senior,0,0.108,0.148,0.5,0
FAIR-001063,RUN-004293,G2_mid,1,0.799,0.799,0.5,1
FAIR-001064,RUN-001783,G3_junior,1,0.8678,0.7478,0.5,1
FAIR-001065,RUN-008796,G3_junior,0,0.2896,0.1696,0.5,0
FAIR-001066,RUN-010239,G3_junior,1,0.8237,0.7037,0.5,1
FAIR-001067,RUN-006929,G3_junior,1,0.7228,0.6028,0.5,1
FAIR-001068,RUN-008710,G2_mid,0,0.1821,0.1821,0.5,0
FAIR-001069,RUN-003042,G1_senior,1,0.4735,0.5135,0.5,0
FAIR-001070,RUN-008975,G3_junior,0,0.2366,0.1166,0.5,0
FAIR-001071,RUN-007389,G1_senior,0,0.3556,0.3956,0.5,0
FAIR-001072,RUN-006783,G3_junior,0,0.3926,0.2726,0.5,0
FAIR-001073,RUN-001469,G3_junior,0,0.4106,0.2906,0.5,0
FAIR-001074,RUN-011063,G2_mid,0,0.1395,0.1395,0.5,0
FAIR-001075,RUN-001958,G1_senior,0,0.241,0.281,0.5,0
FAIR-001076,RUN-004716,G3_junior,0,0.6736,0.5536,0.5,1
FAIR-001077,RUN-007588,G3_junior,0,0.4314,0.3114,0.5,0
FAIR-001078,RUN-009487,G3_junior,0,0.3495,0.2295,0.5,0
FAIR-001079,RUN-009111,G3_junior,1,0.4306,0.3106,0.5,0
FAIR-001080,RUN-001804,G1_senior,0,0.0543,0.0943,0.5,0
FAIR-001081,RUN-009651,G3_junior,1,0.8879,0.7679,0.5,1
FAIR-001082,RUN-000348,G3_junior,0,0.12,0,0.5,0
FAIR-001083,RUN-009066,G3_junior,0,0.3358,0.2158,0.5,0
FAIR-001084,RUN-010283,G3_junior,1,0.7088,0.5888,0.5,1
FAIR-001085,RUN-003770,G3_junior,0,0.2961,0.1761,0.5,0
FAIR-001086,RUN-000965,G3_junior,0,0.1769,0.0569,0.5,0
FAIR-001087,RUN-002639,G3_junior,1,0.7326,0.6126,0.5,1
FAIR-001088,RUN-008053,G1_senior,0,0.3051,0.3451,0.5,0
FAIR-001089,RUN-007573,G3_junior,0,0.273,0.153,0.5,0
FAIR-001090,RUN-006149,G3_junior,1,0.7173,0.5973,0.5,1
FAIR-001091,RUN-004388,G3_junior,0,0.3961,0.2761,0.5,0
FAIR-001092,RUN-001515,G2_mid,1,0.6362,0.6362,0.5,0
FAIR-001093,RUN-007729,G2_mid,0,0.293,0.293,0.5,0
FAIR-001094,RUN-010455,G2_mid,1,0.6462,0.6462,0.5,0
FAIR-001095,RUN-005920,G2_mid,0,0,0,0.5,0
FAIR-001096,RUN-008697,G3_junior,1,0.7033,0.5833,0.5,1
FAIR-001097,RUN-008704,G3_junior,1,0.813,0.693,0.5,1
FAIR-001098,RUN-001644,G3_junior,0,0.4865,0.3665,0.5,0
FAIR-001099,RUN-001907,G3_junior,1,0.734,0.614,0.5,1
FAIR-001100,RUN-001500,G3_junior,0,0.3675,0.2475,0.5,0
FAIR-001101,RUN-002491,G2_mid,0,0.0723,0.0723,0.5,0
FAIR-001102,RUN-003229,G2_mid,0,0.1874,0.1874,0.5,0
FAIR-001103,RUN-003053,G3_junior,0,0.2175,0.0975,0.5,0
FAIR-001104,RUN-008994,G3_junior,1,0.5699,0.4499,0.5,0
FAIR-001105,RUN-010112,G3_junior,1,0.6307,0.5107,0.5,0
FAIR-001106,RUN-008156,G2_mid,0,0.1991,0.1991,0.5,0
FAIR-001107,RUN-011339,G3_junior,0,0.1854,0.0654,0.5,0
FAIR-001108,RUN-002413,G3_junior,0,0.3368,0.2168,0.5,0
FAIR-001109,RUN-002797,G2_mid,1,0.742,0.742,0.5,1
FAIR-001110,RUN-008003,G3_junior,0,0.2132,0.0932,0.5,0
FAIR-001111,RUN-005697,G2_mid,1,0.6657,0.6657,0.5,1
FAIR-001112,RUN-011403,G3_junior,1,1,0.8895,0.5,1
FAIR-001113,RUN-001250,G2_mid,0,0.2013,0.2013,0.5,0
FAIR-001114,RUN-007467,G2_mid,0,0.2388,0.2388,0.5,0
FAIR-001115,RUN-001226,G2_mid,0,0.2244,0.2244,0.5,0
FAIR-001116,RUN-001446,G2_mid,1,0.5334,0.5334,0.5,0
FAIR-001117,RUN-001018,G3_junior,0,0.4373,0.3173,0.5,0
FAIR-001118,RUN-002241,G2_mid,0,0.1473,0.1473,0.5,0
FAIR-001119,RUN-008066,G1_senior,0,0.2578,0.2978,0.5,0
FAIR-001120,RUN-000286,G3_junior,0,0.3688,0.2488,0.5,0
FAIR-001121,RUN-004700,G2_mid,0,0.3442,0.3442,0.5,0
FAIR-001122,RUN-007897,G3_junior,0,0.2637,0.1437,0.5,0
FAIR-001123,RUN-003641,G3_junior,1,0.8192,0.6992,0.5,1
FAIR-001124,RUN-001552,G3_junior,1,0.8304,0.7104,0.5,1
FAIR-001125,RUN-000209,G2_mid,0,0.1654,0.1654,0.5,0
FAIR-001126,RUN-003626,G3_junior,1,0.9278,0.8078,0.5,1
FAIR-001127,RUN-008554,G2_mid,0,0.1777,0.1777,0.5,0
FAIR-001128,RUN-000699,G3_junior,1,0.8709,0.7509,0.5,1
FAIR-001129,RUN-003134,G3_junior,1,0.7654,0.6454,0.5,1
FAIR-001130,RUN-006845,G2_mid,0,0.0302,0.0302,0.5,0
FAIR-001131,RUN-002731,G3_junior,1,0.6117,0.4917,0.5,0
FAIR-001132,RUN-000584,G3_junior,0,0.12,0,0.5,0
FAIR-001133,RUN-005999,G1_senior,0,0.0756,0.1156,0.5,0
FAIR-001134,RUN-008259,G2_mid,0,0,0,0.5,0
FAIR-001135,RUN-009699,G2_mid,1,0.7651,0.7651,0.5,1
FAIR-001136,RUN-007458,G2_mid,0,0.1741,0.1741,0.5,0
FAIR-001137,RUN-010581,G3_junior,0,0.1719,0.0519,0.5,0
FAIR-001138,RUN-003216,G3_junior,0,0.5702,0.4502,0.5,0
FAIR-001139,RUN-008166,G2_mid,0,0.1037,0.1037,0.5,0
FAIR-001140,RUN-002287,G3_junior,0,0.4477,0.3277,0.5,0
FAIR-001141,RUN-010096,G3_junior,1,0.9379,0.8179,0.5,1
FAIR-001142,RUN-005374,G2_mid,0,0.2755,0.2755,0.5,0
FAIR-001143,RUN-008467,G1_senior,0,0.1887,0.2287,0.5,0
FAIR-001144,RUN-009742,G2_mid,0,0.1098,0.1098,0.5,0
FAIR-001145,RUN-004745,G1_senior,0,0.3568,0.3968,0.5,0
FAIR-001146,RUN-002613,G1_senior,0,0.167,0.207,0.5,0
FAIR-001147,RUN-010511,G3_junior,1,0.6939,0.5739,0.5,1
FAIR-001148,RUN-003958,G3_junior,0,0.4232,0.3032,0.5,0
FAIR-001149,RUN-003479,G1_senior,0,0.1759,0.2159,0.5,0
FAIR-001150,RUN-005696,G0_unknown,1,0.5595,0.5595,0.5,0
FAIR-001151,RUN-008818,G2_mid,0,0.1615,0.1615,0.5,0
FAIR-001152,RUN-002367,G3_junior,0,0.3235,0.2035,0.5,0
FAIR-001153,RUN-008693,G1_senior,0,0.1595,0.1995,0.5,0
FAIR-001154,RUN-010230,G3_junior,0,0.7585,0.6385,0.5,1
FAIR-001155,RUN-007438,G3_junior,1,1,0.8911,0.5,1
FAIR-001156,RUN-011050,G3_junior,0,0.12,0,0.5,0
FAIR-001157,RUN-011275,G2_mid,0,0.4644,0.4644,0.5,0
FAIR-001158,RUN-009575,G3_junior,0,0.12,0,0.5,0
FAIR-001159,RUN-005376,G3_junior,0,0.2324,0.1124,0.5,0
FAIR-001160,RUN-003413,G1_senior,0,0.5505,0.5905,0.5,0
FAIR-001161,RUN-004613,G3_junior,1,1,0.9238,0.5,1
FAIR-001162,RUN-006394,G3_junior,0,0.1881,0.0681,0.5,0
FAIR-001163,RUN-002770,G3_junior,1,0.7943,0.6743,0.5,1
FAIR-001164,RUN-003123,G2_mid,0,0.112,0.112,0.5,0
FAIR-001165,RUN-002879,G3_junior,1,0.6999,0.5799,0.5,1
FAIR-001166,RUN-004194,G2_mid,0,0.1931,0.1931,0.5,0
FAIR-001167,RUN-008654,G3_junior,0,0.3326,0.2126,0.5,0
FAIR-001168,RUN-004960,G3_junior,1,0.6514,0.5314,0.5,1
FAIR-001169,RUN-002845,G3_junior,1,0.7103,0.5903,0.5,1
FAIR-001170,RUN-001892,G0_unknown,1,0.8038,0.8038,0.5,1
FAIR-001171,RUN-005300,G3_junior,1,0.9863,0.8663,0.5,1
FAIR-001172,RUN-007163,G1_senior,0,0.1408,0.1808,0.5,0
FAIR-001173,RUN-006830,G2_mid,0,0.0627,0.0627,0.5,0
FAIR-001174,RUN-007358,G3_junior,1,0.9354,0.8154,0.5,1
FAIR-001175,RUN-005944,G3_junior,0,0.5518,0.4318,0.5,0
FAIR-001176,RUN-004666,G2_mid,1,0.7689,0.7689,0.5,1
FAIR-001177,RUN-005880,G1_senior,1,0.6511,0.6911,0.5,1
FAIR-001178,RUN-010008,G3_junior,0,0.4908,0.3708,0.5,0
FAIR-001179,RUN-001813,G1_senior,0,0.1551,0.1951,0.5,0
FAIR-001180,RUN-009776,G3_junior,0,0.1324,0.0124,0.5,0
FAIR-001181,RUN-003164,G1_senior,0,0,0.006,0.5,0
FAIR-001182,RUN-006788,G3_junior,0,0.2025,0.0825,0.5,0
FAIR-001183,RUN-004377,G2_mid,0,0.3865,0.3865,0.5,0
FAIR-001184,RUN-001508,G3_junior,0,0.5568,0.4368,0.5,0
FAIR-001185,RUN-010934,G2_mid,0,0.1227,0.1227,0.5,0
FAIR-001186,RUN-006275,G3_junior,0,0.3929,0.2729,0.5,0
FAIR-001187,RUN-006600,G3_junior,0,0.2627,0.1427,0.5,0
FAIR-001188,RUN-009531,G1_senior,1,0.5633,0.6033,0.5,0
FAIR-001189,RUN-002388,G3_junior,0,0.2507,0.1307,0.5,0
FAIR-001190,RUN-004620,G3_junior,1,0.9304,0.8104,0.5,1
FAIR-001191,RUN-008392,G2_mid,0,0.099,0.099,0.5,0
FAIR-001192,RUN-008902,G3_junior,0,0.1433,0.0233,0.5,0
FAIR-001193,RUN-008055,G3_junior,0,0.3588,0.2388,0.5,0
FAIR-001194,RUN-010000,G3_junior,1,0.8849,0.7649,0.5,1
FAIR-001195,RUN-010817,G2_mid,0,0.1021,0.1021,0.5,0
FAIR-001196,RUN-006339,G2_mid,0,0.2082,0.2082,0.5,0
FAIR-001197,RUN-003913,G1_senior,0,0.1274,0.1674,0.5,0
FAIR-001198,RUN-007511,G2_mid,0,0,0,0.5,0
FAIR-001199,RUN-009761,G1_senior,0,0.107,0.147,0.5,0
FAIR-001200,RUN-010408,G3_junior,0,0.1792,0.0592,0.5,0
FAIR-001201,RUN-003010,G3_junior,0,0.12,0,0.5,0
FAIR-001202,RUN-002806,G2_mid,0,0.2221,0.2221,0.5,0
FAIR-001203,RUN-010975,G3_junior,0,0.3027,0.1827,0.5,0
FAIR-001204,RUN-008549,G3_junior,0,0.12,0,0.5,0
FAIR-001205,RUN-004561,G3_junior,1,0.7212,0.6012,0.5,1
FAIR-001206,RUN-004484,G3_junior,0,0.247,0.127,0.5,0
FAIR-001207,RUN-004987,G3_junior,0,0.1667,0.0467,0.5,0
FAIR-001208,RUN-002891,G3_junior,1,0.8206,0.7006,0.5,1
FAIR-001209,RUN-004965,G1_senior,1,0.5607,0.6007,0.5,0
FAIR-001210,RUN-001047,G1_senior,1,0.5435,0.5835,0.5,0
FAIR-001211,RUN-002473,G3_junior,1,0.6178,0.4978,0.5,0
FAIR-001212,RUN-002073,G3_junior,0,0.1859,0.0659,0.5,0
FAIR-001213,RUN-008660,G3_junior,0,0.1888,0.0688,0.5,0
FAIR-001214,RUN-000877,G2_mid,0,0.1075,0.1075,0.5,0
FAIR-001215,RUN-002822,G3_junior,1,0.8378,0.7178,0.5,1
FAIR-001216,RUN-000914,G3_junior,1,0.6071,0.4871,0.5,0
FAIR-001217,RUN-005240,G2_mid,0,0.2737,0.2737,0.5,0
FAIR-001218,RUN-009894,G2_mid,0,0,0,0.5,0
FAIR-001219,RUN-007292,G3_junior,0,0.1926,0.0726,0.5,0
FAIR-001220,RUN-008810,G2_mid,0,0,0,0.5,0
FAIR-001221,RUN-004871,G3_junior,1,0.6546,0.5346,0.5,1
FAIR-001222,RUN-003559,G3_junior,0,0.2955,0.1755,0.5,0
FAIR-001223,RUN-000395,G3_junior,0,0.5664,0.4464,0.5,0
FAIR-001224,RUN-003633,G1_senior,1,0.7168,0.7568,0.5,1
FAIR-001225,RUN-008447,G3_junior,1,0.9289,0.8089,0.5,1
FAIR-001226,RUN-010223,G3_junior,1,0.82,0.7,0.5,1
FAIR-001227,RUN-009789,G3_junior,0,0.1976,0.0776,0.5,0
FAIR-001228,RUN-006700,G2_mid,0,0.1729,0.1729,0.5,0
FAIR-001229,RUN-002218,G3_junior,1,0.6368,0.5168,0.5,0
FAIR-001230,RUN-007642,G2_mid,0,0.0948,0.0948,0.5,0
FAIR-001231,RUN-001698,G2_mid,1,0.5461,0.5461,0.5,0
FAIR-001232,RUN-006516,G1_senior,0,0.183,0.223,0.5,0
